Item #,"PDC
Reference",Discipline / System,Sub-System,Description,"Date
Added",Show to Meta?,Pricing Status,Client Approval?,"Estimated Cost
($USD)",Qty,UoM,"NRC
Estimate
Total 200MW
($USD)",Base Build Mod vs. TFO Add,Paid By,Scope Spend,"Approved
(Sales/SE)","Approved
(D&C or Cost Est)","Approved
(Portfolio)","Pricing Accuracy
(SE ROM, D&C ROM, Vendor ROM, Quote)",DLR BIC,RFS Condition?,Column1,DLR Internal Notes / Status,Meta SME,DLR Owner,Pre-Sales Notes & Customer Clarifications
1,"04.01.A.a.i.1
04.05.C.4.i",Electrical,PQMs - MSBs,"Furnish and install Power Quality Meters (PQMs) on Main Switchboards (MSBs) (A, B, C, D, F, and R block) per Meta PQM Performance Spec Rev4, including separate CTs, PTs, meters, meter enclosures, wiring, conduits, fittings, appurtenances, and hardware, including 2-wire twisted pair wiring for Modbus communications over RS485 interface to Meta FacNet gateways.  Meters to run on dual 120VAC, 20A, 1P, UPS-backed circuits provided from two (2) separate 300kVA UPS units.",46062,Yes,Closed,,249900,20,per Data Hall,4998000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Procurement,Yes,,"D&C: vendor confirmed viable approach. Cost is supplier cost only 
2-wire modbus tie-over in TFO. This is in SWBD Sect 3 - Util/Gen bus

~$41k per MSB x 6 MSBs per suite",,Alex Arteaga,
2,"04.01.A.a.i.2
04.01.A.a.i.3
04.05.C.4.i",Electrical,PQMs - CDPs / CODs,"Furnish and install Power Quality Meters (PQMs) on Critical Distribution Panels (CDPs) or Critical Output Distribution (COD) boards (A, B, C, D, F, and R-blcok) per Meta PQM Performance Spec Rev4, including separate CTs, PTs, meters, meter enclosures, wiring, conduits, fittings, appurtenances, and hardware, including 2-wire twisted pair wiring for Modbus communications over RS485 interface to Meta FacNet gateways.  Meters to run on dual 120VAC, 20A, 1P, UPS-backed circuits provided from two (2) separate 300kVA UPS units.",46062,Yes,Closed,,249900,20,per Data Hall,4998000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Procurement,Yes,,Same as above except on SWBD Sect 6 - UPS output/Critical bus ,,Alex Arteaga,"Using mechanical UPS as source, then install step-down xfmr to get 120VAC, Qty = 2 per suite, verbally accepted by Meta during 3/9/26 5:00pm CDT call."
3,"04.01.A.a.i.4
04.05.C.4.ii",Electrical,PQMs / BCMS - Rows,"Furnish and install row-level Power Quality Meters (PQMs) which will also serve as branch circuit monitoring system (BCMS) on the load side of the manual transfer switch (MTS) for each IT equipment row per Meta PQM Performance Spec Rev4, including separate CTs, PTs, meters, meter enclosures, wiring, conduits, fittings, appurtenances, and hardware, including 2-wire twisted pair wiring for Modbus communications over RS485 interface to Meta FacNet gateways.  Meters to run on dual 120VAC, 20A, 1P, UPS-backed circuits (not powered by local shunt PT).",46062,Yes,Closed,,29750,600,per row,17850000,TFO Add,Meta,Suites,Yes,Yes,,D&C ROM,Design,Yes,,"Can meta confirm spec enclosure can export from PQM enclosure? Minor cost TBD if item 4 is approved.

Standalone similar cost to item 3",,Alex Arteaga,"Per Meta, these meters will be installed on the load side of the MTSs which will be located at the end of each server rack row.  Therefore, this functionality will be covered by the PQMs - Rows line item, above."
4,04.01.B.a.i,Electrical,Overrack power busway (Server rows),"Furnish and install over rack power busway, 415/240V, 800A, 3P4W+G, one (1) run per each server row, including busway, end feed box with IR scanning window, and all associated wiring, conduits, fittings, supports, appurtenances, and hardware for a complete system installation.",46062,Yes,Closed,,2155923,18,per data hall,38806614,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,Cost estimation based on Stantec concept design layouts of 3/6/26.,,Cost Estimation,"Does this include feeder run from PDU to MTS switch located on data hall floor?  If so, need to remove that cost from this line item and re-allocate to MTS line item."
5,"04.01.B.a.ii
04.01.B.a.iv
04.01.C.a.iv",Electrical,Tap-off boxes,"Furnish and install tap-off box, dual 415/240V, 30A, 3P4W+G circuits, each with 30A, 3P, 80% rated, 25kAIC MCCB plus current limiting fuse, each circuit terminated to NEMA L22-30R receptacle.",46062,Yes,Closed,,1751.58,16000,per Tap Box,28025280,TFO Add,Meta,Suites,Yes,Yes,,Cost Estimating ROM,Design,No,,Cost estimation based on Stantec concept design layouts of 3/6/26.  One (1) dual-circuit tap off box per each rack position.,,Cost Estimation,
6,04.01.B.a.iii,Electrical,PDU output breakers,"Change PDU output breakers from 6 x 600A per PDU to 4 x 800A, 3P, 100% rated, electronic trip (LSI) per PDU.",46008,Yes,Closed,,89000,20,per Data Hall,1780000,BB Mod,Meta,Suites,Yes,Yes,Yes,D&C ROM,Procurement,Yes,,"D&C: Equipment PO placed
cost per suite - assuming 20 suites (design cost added)
Cost includes PXR10 trip breakers",,Alex Arteaga,"Need to confirm BIM status PDU depth increases 8"" may need to shift whitespace wall inward.
Question:  Since each PDU will feed only one (1) server row, can the number of output breakers per PDU be reduced to a smaller quantity?"
7,04.01.B.b.i,Electrical,Manual Transfer Switches,"Furnish and install manual transfer switches (MTS), 800A rated, for 415/240V, 800A, 3P4W+G power, for each Server row.",46062,Yes,Closed,,339338,392,per MTS,133020496,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,"Need a lot more info to establish scope
cost per suite - assuming 20 suites
Stantec design assuming ATS",,Alex Arteaga,MTS added to expanded STS gallery. Dual fed from PDUs
8,04.01.B.c.ii,Electrical,Goal Post receptacles,"Furnish and install dual 230V, 20A, 1P, UPS-backed circuits terminated to NEMA L6-20R recetacles, to cold aisle ""goal post"" receptacles from diverse electrical panels to each IT equipment row",46062,Yes,Closed,,100011,20,per row,2000220,TFO Add,Meta,Suites,Yes,Yes,,Cost Estimating ROM,Design,No,,"Cost estimation based on Stantec concept design layouts of 3/6/26.  Two (2) receptacles per ""goal post"" x five (5) goal posts per cold aisle x 10 colds aisle per data hall = 100 receptacles per data hall.",,Cost Estimation,
9,04.01.B.c.iii,Electrical,IDF Racks,"Provide dual UPS-backed power to Meta IDF racks within Data Halls
Information needed from Meta - voltage, ampacity, 1p/3p, and termination",46085,Yes,Closed,,0,,per IDF rack,0,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,Need Meta clarification regarding # of IDFs per row / data hall and circuit requirements to each.
10,04.01.B.d,Electrical,Convenience receptacles,"Furnish and install 120V, 15A, 1P circuits terminated to duplex NEMA 5-15R receptacles for convenience outlets, 1 per each IT equipment aisle.",46085,Yes,Closed,,27195,20,per data hall,543900,TFO Add,Meta,Suites,Yes,Yes,,Cost Estimating ROM,Design,No,,,,Cost Estimation,NOTE:  Receptacles need to be ceiling mounted.
11,04.01.B.d.i,Electrical,Cord Reels,"Furnish and install 120V, 15, 1P, cord reel with NEMA 5-15P plug, 1 per each IT equipment aisle.",46062,Yes,Closed,,37296,20,per data hall,745920,TFO Add,Meta,Suites,Yes,Yes,,Cost Estimating ROM,Design,No,,,,Cost Estimation,NOTE:  Cord reels to be ceiling mounted.
12,"04.01.B.e.i
04.01.C.b.i",Electrical,Grounding,"Furnish & install supplemental telecommunications grounding system per Meta requirements, IEEE 1100, and TIA 607",46062,Yes,Closed,,148395.9,20,per Data Hall,2967918,TFO Add,Meta,Suites,Yes,Yes,,Cost Estimating ROM,Design,No,,,,Cost Estimation,
13,04.01.B.g,Electrical,Coordination Study,Upgrade PDU output breaker trip unit from PXR10 to PXR20 to provide for additional adjustability in trip settings.  Update coordination study and breaker trip settings based upon Meta fit-out and Meta trip setting requirements,46062,Yes,Closed,,6000,600,per PDU,3600000,BB Mod,Meta,Suites,Yes,Yes,,,Procurement,Yes,,"Cost to increase PDU breaker from PXR10 (base) to PXR20 included. 
PXR10:
LTPU: Adjustable from 200A to 600A
LTD: Fixed at 10s
STPU: Adjustable from 2x to 10x
STD: 0.15s or 0.30s only, I2T Off
INST: Adjustable from 2x to 10x
The PXR20 would add adjustable LTD from 1.5s to 12s and adjustable STD from 0.05s to 0.5s.",,Alex Arteaga,
14,04.01.C.a.i,Electrical,Overrack power busway (Network rows),"Furnish and install two (2) dual UPS-backed over rack power busways, 415/240V, 800A, 3P4W+G, per Network room Data Hall, including busway, end feed box with IR scanning window, and all associated wiring, conduits, fittings, supports, appurtenances, and hardware for a complete system installation.  Balance of over rack power busways to be same as item #6, above.",46085,Yes,Closed,,3025697.94,2,per Data Hall,6051395.88,TFO Add,Meta,Suites,Yes,Yes,,Cost Estimating ROM,Design,No,,,,Cost Estimation,Meta confirmed that requirement is 2 x over rack busway runs for two (2) network equipment rows in Network Room data halls.
15,"04.01.E.a
04.03.F",Electrical,Lighting (Data Halls),"Relocation, reconfiguration, or addition of lighting fixtures to fully coordinate with Meta IT equipment row and aisle locations to achieve Meta illumination requirements of 30 f.c. at 2'-6"" workplane with 6:1 max/min uniformity ratio",46062,Yes,Closed,,55500,20,per Data Hall,1110000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Design,Yes,,,,Alex Arteaga,
